,Superhero U Ads Report Sep-23-2020 to Sep-28-2020,,,"Report Period: Sep 23, 2020 - Sep 28, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Campaign Name,,Delivery Status,Delivery Level,Campaign Name,Result Type,Results,Reach,Impressions,Cost per Result,Amount Spent (INR),Frequency,Unique Link Clicks,Clicks (All),CPC (All),CTR (All),Cost per Post Engagement,Unique Clicks (All),Unique CTR (All),Reporting Starts,Reporting Ends
,SHU_6 (Educators and Principals),,completed,campaign,SHU_6 (Educators and Principals),Link Clicks,449.00,23903,47139,5.20,2333.33,1.97,420.00,1218.00,1.92,2.58,4.27,967.00,4.05,2020-09-23,2020-09-28
,SHU3_ (Students Apart from India and US),,completed,campaign,SHU3_ (Students Apart from India and US),Link Clicks,1706.00,46495,67313,0.93,1579.02,1.45,1595.00,3743.00,0.42,5.56,0.75,2833.00,6.09,2020-09-23,2020-09-28
,SHU_Students(Nepal),,completed,campaign,SHU_Students(Nepal),Link Clicks,560.00,29667,65215,1.85,1035.24,2.20,518.00,1420.00,0.73,2.18,1.59,1146.00,3.86,2020-09-23,2020-09-28
,SHU_Students (India),,completed,campaign,SHU_Students (India),Landing Page Views,774.00,31831,37246,1.23,955.21,1.17,987.00,1400.00,0.68,3.76,0.68,1238.00,3.89,2020-09-23,2020-09-28
,SHU_Students (Nigeria),,completed,campaign,SHU_Students (Nigeria),Landing Page Views,645.00,21929,28974,1.46,942.78,1.32,1073.00,2765.00,0.34,9.54,0.68,2058.00,9.38,2020-09-23,2020-09-28
,SHU_Students (Canada),,completed,campaign,SHU_Students (Canada),Landing Page Views,105.00,3307,4267,8.80,923.96,1.29,112.00,171.00,5.40,4.01,5.96,146.00,4.41,2020-09-23,2020-09-28
,SHU_Students (USA),,completed,campaign,SHU_Students (USA),Landing Page Views,119.00,2555,2900,7.54,897.68,1.14,126.00,178.00,5.04,6.14,5.16,156.00,6.11,2020-09-23,2020-09-28
,SHU_Students(UAE),,completed,campaign,SHU_Students(UAE),Link Clicks,90.00,7334,8660,9.74,876.26,1.18,88.00,242.00,3.62,2.79,7.12,194.00,2.65,2020-09-23,2020-09-28
,SHU_Students(UK),,completed,campaign,SHU_Students(UK),Link Clicks,58.00,3636,4091,14.77,856.67,1.13,57.00,121.00,7.08,2.96,10.84,105.00,2.89,2020-09-23,2020-09-28
,SHU_Students(Australia),,completed,campaign,SHU_Students(Australia),Link Clicks,46.00,3187,3572,18.49,850.68,1.12,44.00,119.00,7.15,3.33,11.50,109.00,3.42,2020-09-23,2020-09-28
,SHU_Students(Ghana),,completed,campaign,SHU_Students(Ghana),Link Clicks,257.00,15023,20483,3.26,837.78,1.36,237.00,648.00,1.29,3.16,1.99,552.00,3.67,2020-09-23,2020-09-28
